label	group	x0	x1	y0	y1	z0	z1
Back Cushion Left (bed mode)	mattress	663	995	-48	752	277	377
Back Cushion Left (table mode)	mattress	98	198	0	800	382	714
Back Cushion Right (bed mode)	mattress	995	1327	-48	752	277	377
Back Cushion Right (table mode)	mattress	1792	1892	0	800	382	714
Bed Slat_1	boards	20	118	-48	752	1163	1186
Bed Slat_10	boards	1302.15	1400.15	-48	752	1163	1186
Bed Slat_11	boards	1444.62	1542.62	-48	752	1163	1186
Bed Slat_12	boards	1587.08	1685.08	-48	752	1163	1186
Bed Slat_13	boards	1729.54	1827.54	-48	752	1163	1186
Bed Slat_14	boards	1872	1970	-48	752	1163	1186
Bed Slat_2	boards	162.462	260.462	-48	752	1163	1186
Bed Slat_3	boards	304.923	402.923	-48	752	1163	1186
Bed Slat_4	boards	447.385	545.385	-48	752	1163	1186
Bed Slat_5	boards	589.846	687.846	-48	752	1163	1186
Bed Slat_6	boards	732.308	830.308	-48	752	1163	1186
Bed Slat_7	boards	874.769	972.769	-48	752	1163	1186
Bed Slat_8	boards	1017.23	1115.23	-48	752	1163	1186
Bed Slat_9	boards	1159.69	1257.69	-48	752	1163	1186
Bench End Cleat Left	boards	0	98	-12	24	211	259
Bench End Cleat Right	boards	1892	1990	-12	24	211	259
Bench End Slat Left	boards	0	98	-12	752	259	282
Bench End Slat Right	boards	1892	1990	-12	752	259	282
Bench Rail Back (continuous)	rails	98	1892	-48	0	191	259
Bench Rail Front Left (segment)	rails	3	645	704	752	191	259
Bench Rail Front Right (segment)	rails	1345	1987	704	752	191	259
Bench Slat Left_1	boards	98	196	-48	752	259	282
Bench Slat Left_2	boards	210.25	308.25	-48	752	259	282
Bench Slat Left_3	boards	322.5	420.5	-48	752	259	282
Bench Slat Left_4	boards	434.75	532.75	-48	752	259	282
Bench Slat Left_5	boards	547	645	-48	752	259	282
Bench Slat Right_1	boards	1794	1892	-48	752	259	282
Bench Slat Right_2	boards	1681.75	1779.75	-48	752	259	282
Bench Slat Right_3	boards	1569.5	1667.5	-48	752	259	282
Bench Slat Right_4	boards	1457.25	1555.25	-48	752	259	282
Bench Slat Right_5	boards	1345	1443	-48	752	259	282
Bench Stub Leg Back Left	posts	577	645	-48	0	0	191
Bench Stub Leg Back Right	posts	1345	1413	-48	0	0	191
Bench Stub Leg Front Left	posts	577	645	704	752	0	191
Bench Stub Leg Front Right	posts	1345	1413	704	752	0	191
Child Lying Lower (bed mode)	figures	587.906	1870.72	111.467	592.533	360.04	625.305
Child Lying Upper (bed mode)	figures	119.28	1402.09	111.467	592.533	1314.04	1579.3
Child Seated Left (table mode)	figures	200	770.397	95.8315	608.169	369.28	991.331
Child Seated Right (table mode)	figures	1403.93	1799.96	95.8315	608.169	369.28	1036
Corner Post Back Left	posts	0	98	-48	-12	0	1065
Corner Post Back Right	posts	1892	1990	-48	-12	0	1065
Corner Post Front Left	posts	0	98	752	788	0	1700
Corner Post Front Right	posts	1892	1990	752	788	0	1700
End Beam Left	rails	98	134	-48	788	967	1065
End Beam Right	rails	1856	1892	-48	788	967	1065
Guard Rail Front Left_1	boards	3	835	716	752	1401	1499
Guard Rail Front Left_2	boards	3	835	716	752	1574	1672
Guard Rail Front Right_1	boards	1155	1987	716	752	1401	1499
Guard Rail Front Right_2	boards	1155	1987	716	752	1574	1672
Ladder Rung_1	boards	835	1155	720	788	211	259
Ladder Rung_2	boards	835	1155	720	788	434	482
Ladder Rung_3	boards	835	1155	720	788	672	720
Ladder Rung_4	boards	835	1155	720	788	910	958
Ladder Upright Left	posts	787	835	752	788	0	1700
Ladder Upright Right	posts	1155	1203	752	788	0	1700
Mattress 200x80 (reference)	mattress	0	1990	-48	752	1186	1336
Movable Panel (bed mode)	panel	708	1282	-48	750	259	277
Movable Panel (table mode)	panel	708	1282	-48	750	482	500
Panel Front Batten Left (bed mode)	panel	708	785	702	750	191	259
Panel Front Batten Left (table mode)	panel	708	785	702	750	414	482
Panel Front Batten Right (bed mode)	panel	1205	1282	702	750	191	259
Panel Front Batten Right (table mode)	panel	1205	1282	702	750	414	482
Panel Stiffener Batten Left (bed mode)	panel	785	833	0	750	191	259
Panel Stiffener Batten Left (table mode)	panel	785	833	0	750	414	482
Panel Stiffener Batten Right (bed mode)	panel	1157	1205	0	750	191	259
Panel Stiffener Batten Right (table mode)	panel	1157	1205	0	750	414	482
Rung Block Left_1	boards	835	871	752	788	163	211
Rung Block Left_2	boards	835	871	752	788	386	434
Rung Block Left_3	boards	835	871	752	788	624	672
Rung Block Left_4	boards	835	871	752	788	862	910
Rung Block Right_1	boards	1119	1155	752	788	163	211
Rung Block Right_2	boards	1119	1155	752	788	386	434
Rung Block Right_3	boards	1119	1155	752	788	624	672
Rung Block Right_4	boards	1119	1155	752	788	862	910
Seat Cushion Left	mattress	0	663	-48	752	282	382
Seat Cushion Right	mattress	1327	1990	-48	752	282	382
Table Ledger Back	boards	98	1892	-48	0	414	482
Upper Side Rail Back	rails	3	1987	-48	0	1065	1163
Upper Side Rail Front	rails	3	1987	704	752	1065	1163
