label	group	x0	x1	y0	y1	z0	z1
Back Cushion Left (bed mode)	mattress	663	995	-48	752	315	415
Back Cushion Left (table mode)	mattress	98	198	0	800	420	752
Back Cushion Right (bed mode)	mattress	995	1327	-48	752	315	415
Back Cushion Right (table mode)	mattress	1792	1892	0	800	420	752
Bed Slat_1	boards	20	118	-48	752	1500	1523
Bed Slat_10	boards	1302.15	1400.15	-48	752	1500	1523
Bed Slat_11	boards	1444.62	1542.62	-48	752	1500	1523
Bed Slat_12	boards	1587.08	1685.08	-48	752	1500	1523
Bed Slat_13	boards	1729.54	1827.54	-48	752	1500	1523
Bed Slat_14	boards	1872	1970	-48	752	1500	1523
Bed Slat_2	boards	162.462	260.462	-48	752	1500	1523
Bed Slat_3	boards	304.923	402.923	-48	752	1500	1523
Bed Slat_4	boards	447.385	545.385	-48	752	1500	1523
Bed Slat_5	boards	589.846	687.846	-48	752	1500	1523
Bed Slat_6	boards	732.308	830.308	-48	752	1500	1523
Bed Slat_7	boards	874.769	972.769	-48	752	1500	1523
Bed Slat_8	boards	1017.23	1115.23	-48	752	1500	1523
Bed Slat_9	boards	1159.69	1257.69	-48	752	1500	1523
Bench End Cleat Left	boards	0	98	-12	24	249	297
Bench End Cleat Right	boards	1892	1990	-12	24	249	297
Bench End Slat Left	boards	0	98	-12	752	297	320
Bench End Slat Right	boards	1892	1990	-12	752	297	320
Bench Rail Back (continuous)	rails	98	1892	-48	0	229	297
Bench Rail Front Left (segment)	rails	3	645	704	752	229	297
Bench Rail Front Right (segment)	rails	1345	1987	704	752	229	297
Bench Slat Left_1	boards	98	196	-48	752	297	320
Bench Slat Left_2	boards	210.25	308.25	-48	752	297	320
Bench Slat Left_3	boards	322.5	420.5	-48	752	297	320
Bench Slat Left_4	boards	434.75	532.75	-48	752	297	320
Bench Slat Left_5	boards	547	645	-48	752	297	320
Bench Slat Right_1	boards	1794	1892	-48	752	297	320
Bench Slat Right_2	boards	1681.75	1779.75	-48	752	297	320
Bench Slat Right_3	boards	1569.5	1667.5	-48	752	297	320
Bench Slat Right_4	boards	1457.25	1555.25	-48	752	297	320
Bench Slat Right_5	boards	1345	1443	-48	752	297	320
Bench Stub Leg Back Left	posts	577	645	-48	0	0	229
Bench Stub Leg Back Right	posts	1345	1413	-48	0	0	229
Bench Stub Leg Front Left	posts	577	645	704	752	0	229
Bench Stub Leg Front Right	posts	1345	1413	704	752	0	229
Child Lying Lower (bed mode)	figures	587.906	1870.72	111.467	592.533	398.04	663.305
Child Lying Upper (bed mode)	figures	119.28	1402.09	111.467	592.533	1621.04	1886.3
Child Seated Left (table mode)	figures	383.6	943.526	187.6	516.4	146	1073.45
Child Seated Right (table mode)	figures	1046.47	1616.36	187.6	516.4	146	1074
Corner Post Back Left	posts	0	98	-48	-12	0	1402
Corner Post Back Right	posts	1892	1990	-48	-12	0	1402
Corner Post Front Left	posts	0	98	752	788	0	2037
Corner Post Front Right	posts	1892	1990	752	788	0	2037
End Beam Left	rails	98	134	-48	788	1304	1402
End Beam Right	rails	1856	1892	-48	788	1304	1402
Footrest Cheek Left	boards	787	823	216	488	0	98
Footrest Cheek Right	boards	1167	1203	216	488	0	98
Footrest Deck Board_1	boards	787	1203	216	284	98	146
Footrest Deck Board_2	boards	787	1203	284	352	98	146
Footrest Deck Board_3	boards	787	1203	352	420	98	146
Footrest Deck Board_4	boards	787	1203	420	488	98	146
Guard Rail Front Left_1	boards	3	835	716	752	1708	1806
Guard Rail Front Left_2	boards	3	835	716	752	1881	1979
Guard Rail Front Right_1	boards	1155	1987	716	752	1708	1806
Guard Rail Front Right_2	boards	1155	1987	716	752	1881	1979
Ladder Rung_1	boards	835	1155	720	788	249	297
Ladder Rung_2	boards	835	1155	720	788	524	572
Ladder Rung_3	boards	835	1155	720	788	800	848
Ladder Rung_4	boards	835	1155	720	788	1025	1073
Ladder Rung_5	boards	835	1155	720	788	1250	1298
Ladder Upright Left	posts	787	835	752	788	0	2037
Ladder Upright Right	posts	1155	1203	752	788	0	2037
Mattress 200x80 (reference)	mattress	0	1990	-48	752	1523	1643
Movable Panel (bed mode)	panel	708	1282	-48	750	297	315
Movable Panel (table mode)	panel	708	1282	-48	750	682	700
Panel Front Batten Left (bed mode)	panel	708	785	702	750	229	297
Panel Front Batten Left (table mode)	panel	708	785	702	750	614	682
Panel Front Batten Right (bed mode)	panel	1205	1282	702	750	229	297
Panel Front Batten Right (table mode)	panel	1205	1282	702	750	614	682
Panel Stiffener Batten Left (bed mode)	panel	785	833	0	750	229	297
Panel Stiffener Batten Left (table mode)	panel	785	833	0	750	614	682
Panel Stiffener Batten Right (bed mode)	panel	1157	1205	0	750	229	297
Panel Stiffener Batten Right (table mode)	panel	1157	1205	0	750	614	682
Rung Block Left_1	boards	835	871	752	788	201	249
Rung Block Left_2	boards	835	871	752	788	476	524
Rung Block Left_3	boards	835	871	752	788	752	800
Rung Block Left_4	boards	835	871	752	788	977	1025
Rung Block Left_5	boards	835	871	752	788	1202	1250
Rung Block Right_1	boards	1119	1155	752	788	201	249
Rung Block Right_2	boards	1119	1155	752	788	476	524
Rung Block Right_3	boards	1119	1155	752	788	752	800
Rung Block Right_4	boards	1119	1155	752	788	977	1025
Rung Block Right_5	boards	1119	1155	752	788	1202	1250
Seat Cushion Left	mattress	0	663	-48	752	320	420
Seat Cushion Right	mattress	1327	1990	-48	752	320	420
Table Bearer Left	boards	835	883	697	788	614	682
Table Bearer Right	boards	1107	1155	697	788	614	682
Table Ledger Back	boards	98	1892	-48	0	614	682
Upper Side Rail Back	rails	3	1987	-48	0	1402	1500
Upper Side Rail Front	rails	3	1987	704	752	1402	1500
